ID,Participant,Accent,Sentence,Item,Stimulus,Response,Word_Type,Accuracy,Error_Type,Familiarity,,,
205,10,ChinEng,32,265,all,all,Function,TRUE,,Never,,,
206,10,ChinEng,32,266,the,the,Function,TRUE,,Never,,,
207,10,ChinEng,32,267,violent,violent,Content,TRUE,,Never,,,
208,10,ChinEng,32,268,things,things,Content,TRUE,,Never,,,
209,13,ChinEng,32,264,forget,Forget,Content,TRUE,,Never,,,
210,13,ChinEng,32,265,all,all,Function,TRUE,,Never,,,
211,13,ChinEng,32,266,the,the,Function,TRUE,,Never,,,
212,13,ChinEng,32,267,violent,violent,Content,TRUE,,Never,,,
213,13,ChinEng,32,268,things,things,Content,TRUE,,Never,,,
214,15,ChinEng,32,264,forget,Forget,Content,TRUE,,Never,,,
215,15,ChinEng,32,265,all,all,Function,TRUE,,Never,,,
216,15,ChinEng,32,266,the,the,Function,TRUE,,Never,,,
217,15,ChinEng,32,267,violent,violent,Content,TRUE,,Never,,,
218,15,ChinEng,32,268,things,things,Content,TRUE,,Never,,,
219,18,ChinEng,32,264,forget,forget,Content,TRUE,,Never,,,
220,18,ChinEng,32,265,all,all,Function,TRUE,,Never,,,
221,18,ChinEng,32,266,the,of,Function,FALSE,Replacement_Dissimilar,Never,,,
222,18,ChinEng,32,267,violent,violent,Content,TRUE,,Never,,,
223,18,ChinEng,32,268,things,things,Content,TRUE,,Never,,,
224,21,ChinEng,32,264,forget,forget,Content,TRUE,,Often,,,
225,21,ChinEng,32,265,all,all,Function,TRUE,,Often,,,
226,21,ChinEng,32,266,the,the,Function,TRUE,,Often,,,
227,21,ChinEng,32,267,violent,violations,Content,FALSE,Replacement_Similar,Often,,,
228,21,ChinEng,32,268,things,X,Content,FALSE,Omission_CW,Often,,,
229,22,ChinEng,32,264,forget,Forget,Content,TRUE,,Never,,,
230,22,ChinEng,32,265,all,all,Function,TRUE,,Never,,,
231,22,ChinEng,32,266,the,the,Function,TRUE,,Never,,,
232,22,ChinEng,32,267,violent,violent,Content,TRUE,,Never,,,
233,22,ChinEng,32,268,things,things,Content,TRUE,,Never,,,
234,31,ChinEng,32,264,forget,Forget,Content,TRUE,,Never,,,
235,31,ChinEng,32,265,all,all,Function,TRUE,,Never,,,
236,31,ChinEng,32,266,the,the,Function,TRUE,,Never,,,
237,31,ChinEng,32,267,violent,violent,Content,TRUE,,Never,,,
238,31,ChinEng,32,268,things,things,Content,TRUE,,Never,,,
239,33,ChinEng,32,264,forget,forget,Content,TRUE,,Never,,,
240,33,ChinEng,32,265,all,all,Function,TRUE,,Never,,,
241,33,ChinEng,32,266,the,the,Function,TRUE,,Never,,,
242,33,ChinEng,32,267,violent,violent,Content,TRUE,,Never,,,
243,33,ChinEng,32,268,things,things,Content,TRUE,,Never,,,
244,34,ChinEng,32,264,forget,Forget,Content,TRUE,,Never,,,
245,34,ChinEng,32,265,all,all,Function,TRUE,,Never,,,
246,34,ChinEng,32,266,the,of,Function,FALSE,Replacement_Dissimilar,Never,,,
247,34,ChinEng,32,267,violent,violent,Content,TRUE,,Never,,,
248,34,ChinEng,32,268,things,X,Content,FALSE,Omission_CW,Never,,,
249,35,ChinEng,32,264,forget,Forget,Content,TRUE,,Never,,,
250,35,ChinEng,32,265,all,all,Function,TRUE,,Never,,,
251,35,ChinEng,32,266,the,the,Function,TRUE,,Never,,,
252,35,ChinEng,32,267,violent,violent,Content,TRUE,,Never,,,
253,35,ChinEng,32,268,things,things,Content,TRUE,,Never,,,
254,36,ChinEng,32,264,forget,forget,Content,TRUE,,Rarely,,,
255,36,ChinEng,32,265,all,all,Function,TRUE,,Rarely,,,
256,36,ChinEng,32,266,the,the,Function,TRUE,,Rarely,,,
